PlantNo,Block,RootDryMass,ShootDryMass,variety
1,1,56,132,wt
2,1,66,120,wt
3,1,40,108,wt
4,1,43,134,wt
5,1,55,119,wt
6,1,66,125,wt
7,2,41,98,wt
8,2,67,122,wt
9,2,40,114,wt
10,2,35,82,wt
11,2,44,37,wt
12,2,41,109,wt
1,1,12,45,wt
2,1,20,60,wt
3,1,21,87,wt
4,1,15,57,wt
5,1,5,26,wt
6,1,18,78,wt
7,2,18,45,wt
8,2,7,40,wt
9,2,9,44,wt
10,2,6,32,wt
11,2,13,55,wt
12,2,7,34,wt
1,1,12,71,wt
2,1,18,78,wt
3,1,17,87,wt
4,1,23,80,wt
5,1,21,92,wt
6,1,23,129,wt
7,2,14,48,wt
8,2,14,60,wt
9,2,12,46,wt
10,2,23,74,wt
11,2,11,51,wt
12,2,20,64,wt
1,1,6,8,ANU843
2,1,4,6,ANU843
3,1,4,3,ANU843
4,1,7,1,ANU843
5,1,5,7,ANU843
6,1,6,5,ANU843
7,2,6,10,ANU843
8,2,5,17,ANU843
9,2,7,3,ANU843
10,2,3,5,ANU843
11,2,12,15,ANU843
12,2,7,8,ANU843
1,1,4,22,ANU843
2,1,10,36,ANU843
3,1,9,54,ANU843
4,1,10,53,ANU843
5,1,8,42,ANU843
6,1,9,30,ANU843
7,2,1,35,ANU843
8,2,12,59,ANU843
9,2,8,38,ANU843
10,2,17,70,ANU843
11,2,8,59,ANU843
12,2,14,61,ANU843
1,1,19,75,ANU843
2,1,18,75,ANU843
3,1,21,96,ANU843
4,1,7,59,ANU843
5,1,17,96,ANU843
6,1,18,100,ANU843
7,2,16,75,ANU843
8,2,11,68,ANU843
9,2,6,35,ANU843
10,2,11,53,ANU843
11,2,7,47,ANU843
12,2,15,79,ANU843
